id,name
1,"Чистота "
2,"Водоснабдяване и канализация"
3,"Пътна инфраструктура"
4,"Пътна сигнализация"
5,"Паркиране"
6,"Екология. Зелена система"
7,"Домашни и стопански животни"
8,"Търговия, реклама и преместваеми обекти"
9,"Сгради/строежи"
11,"Други"
22,"Проблеми с кучета"
27,"Сметосъбиране и сметоизвозване"
28,"Улично осветление"
30,"Замърсяване на обществени площи"
32,"Детски площадки"
33,"Инф. системи на Столична община"
38,"Масов градски транспорт"
39,"COVID-19"
40,"Спортни терени, площадки и съоръжения"
