id,name
1,с. Балша
2,в.з. Братковица
3,жк. Свобода
4,с. Войнеговци
5,с. Кубратово
6,с. Локорско
7,с. Мировяне
8,кв. Требич
9,кв. Славовци
10,кв. Кремиковци
11,кв. Обеля
12,с. Световрачeне
13,кв. Сеславци
14,м. Добри Дол
15,м. Толева Махала
16,кв. Република 2
17,с. Мрамор
18,жк. Кремиковци
19,с. Негован
20,с. Чепинци
21,Северен парк
22,с. Волуяк
23,гр. Бухово
24,кв. Илиянци
25,парк Бакърени Гробища
26,Промишлена Зона Илиянци
27,жк. Връбница1
28,с. Желява
29,м. Лозята
30,кв. Бенковски
31,жк. Обеля 2
32,жк. Лев Толстой
33,Складово-Производствена ЗО
34,жк. Връбница 2
35,жк. Обеля 1
36,кв. Ботунец
37,жк. Ботунец
38,Военна Рампа
39,кв. Република
40,жк. Надежда 4
41,жк. Ботунец 2
42,с. Яна
43,жк. Надежда 3
44,кв. Челопечене
45,кв. Орландовци
46,жк. Люлин 1
47,кв. Модерно Предградие
48,жк. Надежда 2
49,жк. Надежда 1
50,жк. Люлин 2
51,Трънска Махала
52,жк. Люлин 3
53,жк. Люлин 8
54,кв. Филиповци
55,парк Централни Софийски ГР
56,м. Черно Конче
57,кв. Изгрев
58,с. Клисура
59,м. Бели Брег
60,жк. Люлин 10
61,кв. Вердикал
62,жк. Люлин 9
63,
64,жк. Люлин-Център
65,с. Горни Богров
66,жк. Триъгълника-Надежда
67,жк. Захарна Фабрика
68,жк. Люлин 4
69,парк Малашевски Гробища
70,жк. Гевгелийски
71,жк. Люлин 5
72,НПЗ Хаджи Димитър
73,м. Витковица
74,кв. Враждебна
75,гр. Банкя
76,жк. Фондови Жилища
77,кв. Св. Стефан
78,жк. Левски Г
79,жк. Люлин 6
80,жк. Люлин 7
81,жк. Банишора
82,м. Япаджа
83,в.з. Иваняне
84,жк. Света Троица
85,Зона Б-19
86,в.з. Банкя
87,жк. Илинден
88,жк. Сухата Река
89,м. Смърдана
90,м. Радова Махала
91,Център
92,жк. Хаджи Димитър
93,с. Иваняне
94,жк. Левски В
95,кв. Васил Левски
96,м. Батареята
97,жк. Западен парк
98,кв. Михайлово
99,с. Долни Богров
100,жк. Зона Б-18
101,Летище София
102,м. Манилов Дол
103,жк. Разсадника-Коньовица
104,кв. Суходол
105,кв. Факултета
106,жк. Красна Поляна 1
107,жк. Зона Б-5
108,
