id,name,population_estimate
0,"Неизвестно",
1,"Средец",30175
2,"Красно село",85792
3,"Възраждане",38634
4,"Оборище",31076
5,"Сердика",43497
6,"Подуяне",77705
7,"Слатина",69055
8,"Изгрев",31473
9,"Лозенец",53110
10,"Триадица",68936
11,"Красна поляна",54985
12,"Илинден",37754
13,"Надежда",71707
14,"Искър",64814
15,"Младост",110025
16,"Студентски",104004
17,"Витоша",66563
18,"Овча купел",63871
19,"Люлин",116036
20,"Върбица",52667
21,"Нови искър",26688
22,"Кремиковци",23772
23,"Панчерево",26925
24,"Банкя",11548
